                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.36723,                0.39088,                 0.2473,                0.87705,                      1,                0.99999,                  0.995,                0.98475,                      1,                0.99999,                  0.995,                0.88485,                0.18352,                0.94787,                0.17369,                0.94435,              0.0015248,              0.0015248,              0.0015248
                     27,                0.36199,                 0.3895,                0.24326,                0.87892,                0.99999,                0.99945,                  0.995,                0.98796,                0.99999,                0.99945,                  0.995,                0.88874,                0.20959,                 1.0031,                0.26186,                0.95416,               0.001505,               0.001505,               0.001505
                     28,                0.35653,                 0.3782,                0.24036,                0.87558,                0.99933,                0.99891,                  0.995,                0.98383,                0.99933,                0.99891,                  0.995,                0.88689,                0.20106,                0.83362,                0.23774,                0.94623,              0.0014852,              0.0014852,              0.0014852
                     29,                0.35946,                0.38413,                0.24045,                0.87304,                 0.9994,                      1,                  0.995,                0.99053,                 0.9994,                      1,                  0.995,                 0.9018,                0.18503,                0.90438,                0.26647,                0.95071,              0.0014654,              0.0014654,              0.0014654
                     30,                0.35699,                0.37334,                0.24049,                0.87505,                0.99999,                      1,                  0.995,                0.98655,                0.99999,                      1,                  0.995,                 0.9054,                0.17782,                0.74313,                0.17581,                0.94005,              0.0014456,              0.0014456,              0.0014456
                     31,                0.35244,                0.37373,                 0.2336,                0.87621,                0.99997,                      1,                  0.995,                0.98748,                0.99997,                      1,                  0.995,                 0.8879,                0.20116,                0.95043,                0.26654,                0.94595,              0.0014258,              0.0014258,              0.0014258
                     32,                0.35497,                 0.3784,                 0.2346,                0.87622,                0.99978,                      1,                  0.995,                0.98892,                0.99978,                      1,                  0.995,                0.88974,                0.19184,                0.98958,                0.29972,                0.94358,               0.001406,               0.001406,               0.001406
                     33,                0.35596,                0.38069,                0.23536,                0.87503,                0.99994,                      1,                  0.995,                0.99022,                0.99994,                      1,                  0.995,                0.90271,                0.19721,                 1.0642,                0.17511,                0.94499,              0.0013862,              0.0013862,              0.0013862
                     34,                0.34981,                0.37797,                0.23485,                 0.8731,                0.99975,                0.99945,                  0.995,                 0.9903,                0.99975,                0.99945,                  0.995,                0.89019,                0.17717,                 1.0767,                0.21643,                0.94105,              0.0013664,              0.0013664,              0.0013664
                     35,                0.35298,                0.36463,                0.23449,                0.87667,                0.99942,                0.99891,                  0.995,                0.98461,                0.99942,                0.99891,                  0.995,                0.89232,                0.34457,                0.84928,                0.47158,                 1.0891,              0.0013466,              0.0013466,              0.0013466
                     36,                0.34573,                0.35946,                0.22908,                0.87168,                0.99998,                      1,                  0.995,                0.99002,                0.99998,                      1,                  0.995,                0.89473,                0.24695,                0.91237,                0.34453,                 1.0006,              0.0013268,              0.0013268,              0.0013268
                     37,                0.34535,                0.35762,                0.23019,                0.87179,                0.99971,                      1,                  0.995,                0.99045,                0.99971,                      1,                  0.995,                 0.8908,                0.27452,                0.97675,                0.41216,                 1.0138,               0.001307,               0.001307,               0.001307
                     38,                0.34544,                0.36154,                0.22772,                0.87155,                0.99996,                      1,                  0.995,                0.98706,                0.99996,                      1,                  0.995,                0.89348,                0.17518,                0.85592,                0.16228,                0.94326,              0.0012872,              0.0012872,              0.0012872
                     39,                0.34464,                0.37455,                0.22854,                0.87292,                0.99456,                 0.9966,                0.99492,                0.99085,                0.99456,                 0.9966,                0.99492,                0.88509,                0.17735,                 1.1256,                0.26393,                0.94247,              0.0012674,              0.0012674,              0.0012674
                     40,                0.35557,                 0.3746,                0.23107,                0.87657,                0.99782,                0.99986,                0.99499,                0.98183,                0.99782,                0.99986,                0.99499,                0.89263,                0.31338,                0.95909,                0.54671,                 1.0559,              0.0012476,              0.0012476,              0.0012476
                     41,                0.33947,                0.35816,                 0.2231,                 0.8711,                0.99995,                      1,                  0.995,                0.98765,                0.99995,                      1,                  0.995,                0.89069,                0.22947,                 1.0221,                0.38727,                0.95949,              0.0012278,              0.0012278,              0.0012278
                     42,                0.33884,                0.37103,                0.22171,                0.87056,                      1,                0.99943,                  0.995,                0.99011,                      1,                0.99943,                  0.995,                 0.9109,                0.17264,                0.95254,                0.18997,                0.94173,               0.001208,               0.001208,               0.001208
                     43,                0.33724,                 0.3592,                0.21772,                0.87181,                0.99987,                      1,                  0.995,                0.98415,                0.99987,                      1,                  0.995,                0.89571,                0.20384,                0.97282,                0.27979,                0.94635,              0.0011882,              0.0011882,              0.0011882
                     44,                0.33313,                0.35151,                0.21685,                0.87198,                0.99932,                0.99945,                  0.995,                 0.9884,                0.99932,                0.99945,                  0.995,                0.89108,                0.16549,                0.95773,                0.17476,                0.94102,              0.0011684,              0.0011684,              0.0011684
                     45,                0.33921,                0.36104,                0.21873,                0.87297,                0.99996,                      1,                  0.995,                0.99003,                0.99996,                      1,                  0.995,                0.89137,                0.16328,                 1.0989,                0.14675,                0.94046,              0.0011486,              0.0011486,              0.0011486
                     46,                0.32852,                0.34382,                0.21631,                0.86873,                0.99801,                0.99891,                0.99499,                0.98508,                0.99801,                0.99891,                0.99499,                0.89319,                0.21036,                0.90871,                0.32258,                0.95198,              0.0011288,              0.0011288,              0.0011288
                     47,                0.32817,                0.35224,                0.21511,                 0.8665,                0.99752,                0.99836,                0.99497,                0.98911,                0.99752,                0.99836,                0.99497,                0.89036,                0.19365,                0.91994,                0.14808,                0.94195,               0.001109,               0.001109,               0.001109
